TcDm25_Chr01_H1	45191	34352	TcDm25_Chr01_H1_1_45191_34352
TcDm25_Chr01_H1	61619	60235	TcDm25_Chr01_H1_2_61619_60235
TcDm25_Chr01_H1	66707	66383	TcDm25_Chr01_H1_3_66707_66383
TcDm25_Chr01_H1	99525	98982	TcDm25_Chr01_H1_4_99525_98982
TcDm25_Chr01_H1	155738	144915	TcDm25_Chr01_H1_5_155738_144915
TcDm25_Chr01_H1	240333	233641	TcDm25_Chr01_H1_6_240333_233641
TcDm25_Chr01_H1	246271	244880	TcDm25_Chr01_H1_7_246271_244880
TcDm25_Chr01_H1	252209	250818	TcDm25_Chr01_H1_8_252209_250818
TcDm25_Chr01_H1	258147	256756	TcDm25_Chr01_H1_9_258147_256756
TcDm25_Chr01_H1	264083	262692	TcDm25_Chr01_H1_10_264083_262692
TcDm25_Chr01_H1	270050	268659	TcDm25_Chr01_H1_11_270050_268659
TcDm25_Chr01_H1	276104	274713	TcDm25_Chr01_H1_12_276104_274713
TcDm25_Chr01_H1	282159	280768	TcDm25_Chr01_H1_13_282159_280768
TcDm25_Chr01_H1	288225	286834	TcDm25_Chr01_H1_14_288225_286834
TcDm25_Chr01_H1	294237	292846	TcDm25_Chr01_H1_15_294237_292846
TcDm25_Chr01_H1	300286	298895	TcDm25_Chr01_H1_16_300286_298895
TcDm25_Chr01_H1	306277	304886	TcDm25_Chr01_H1_17_306277_304886
TcDm25_Chr01_H1	312373	310982	TcDm25_Chr01_H1_18_312373_310982
TcDm25_Chr03_H1	332144	321302	TcDm25_Chr03_H1_19_332144_321302
TcDm25_Chr03_H1	386494	375658	TcDm25_Chr03_H1_20_386494_375658
TcDm25_Chr03_H1	460476	449643	TcDm25_Chr03_H1_21_460476_449643
TcDm25_Chr03_H1	555626	544784	TcDm25_Chr03_H1_22_555626_544784
TcDm25_Chr03_H1	620652	609810	TcDm25_Chr03_H1_23_620652_609810
TcDm25_Chr03_H1	896015	885616	TcDm25_Chr03_H1_24_896015_885616
TcDm25_Chr05_H1	360130	352596	TcDm25_Chr05_H1_25_360130_352596
TcDm25_Chr06_H1	940603	929756	TcDm25_Chr06_H1_26_940603_929756
TcDm25_Chr06_H1	1091800	1080953	TcDm25_Chr06_H1_27_1091800_1080953
TcDm25_Chr07_H1	27129	26771	TcDm25_Chr07_H1_28_27129_26771
TcDm25_Chr07_H1	52527	50879	TcDm25_Chr07_H1_29_52527_50879
TcDm25_Chr08_H1	933980	923142	TcDm25_Chr08_H1_30_933980_923142
TcDm25_Chr09_H1	7444	7274	TcDm25_Chr09_H1_31_7444_7274
TcDm25_Chr10_H1	31277	20448	TcDm25_Chr10_H1_32_31277_20448
TcDm25_Chr10_H1	58206	47750	TcDm25_Chr10_H1_33_58206_47750
TcDm25_Chr11_H1_c1	397721	388073	TcDm25_Chr11_H1_c1_34_397721_388073
TcDm25_Chr12_H1	30041	19244	TcDm25_Chr12_H1_35_30041_19244
TcDm25_Chr12_H1	57259	46502	TcDm25_Chr12_H1_36_57259_46502
TcDm25_Chr12_H1	93832	83018	TcDm25_Chr12_H1_37_93832_83018
TcDm25_Chr12_H1	125552	114757	TcDm25_Chr12_H1_38_125552_114757
TcDm25_Chr12_H1	167490	157068	TcDm25_Chr12_H1_39_167490_157068
TcDm25_Chr12_H1	534206	523616	TcDm25_Chr12_H1_40_534206_523616
